문제 번호,문제 티어,문제 이름,전체 제출 케이스,정답 케이스,푼 사람 수,정답 비율,문제 링크
11400,Platinum IV,단절선,8745,3789,2369,40.908%,https://www.acmicpc.net/problem/11400
4196,Platinum IV,도미노,10375,3228,2295,30.106%,https://www.acmicpc.net/problem/4196
15900,Silver I,나무 탈출,10204,3001,2209,34.232%,https://www.acmicpc.net/problem/15900
11123,Silver II,양 한마리... 양 두마리...,4309,2669,2185,63.870%,https://www.acmicpc.net/problem/11123
1219,Platinum V,오민식의 고민,16893,3514,2174,18.485%,https://www.acmicpc.net/problem/1219
5214,Gold II,환승,11181,3077,2142,27.217%,https://www.acmicpc.net/problem/5214
14395,Gold IV,4연산,9394,3002,2137,29.500%,https://www.acmicpc.net/problem/14395
15971,Gold IV,두 로봇,8040,2919,2134,36.972%,https://www.acmicpc.net/problem/15971
10423,Gold III,전기가 부족해,3943,2731,2117,69.822%,https://www.acmicpc.net/problem/10423
12761,Silver I,돌다리,4601,2419,2025,52.584%,https://www.acmicpc.net/problem/12761
2610,Gold II,회의준비,9116,2704,2011,29.132%,https://www.acmicpc.net/problem/2610
2151,Gold III,거울 설치,10800,2857,1917,26.046%,https://www.acmicpc.net/problem/2151
13418,Gold III,학교 탐방하기,6389,2609,1897,38.069%,https://www.acmicpc.net/problem/13418
1245,Gold V,농장 관리,5416,2361,1894,44.586%,https://www.acmicpc.net/problem/1245
17396,Gold V,백도어,9803,2644,1891,24.101%,https://www.acmicpc.net/problem/17396
17352,Gold V,여러분의 다리가 되어 드리겠습니다!,4665,2336,1853,49.772%,https://www.acmicpc.net/problem/17352
16940,Gold III,BFS 스페셜 저지,10895,2973,1849,24.876%,https://www.acmicpc.net/problem/16940
1981,Platinum V,배열에서 이동,10205,2702,1800,24.763%,https://www.acmicpc.net/problem/1981
1368,Gold II,물대기,5306,2365,1763,43.253%,https://www.acmicpc.net/problem/1368
9376,Platinum IV,탈옥,11776,2509,1738,27.487%,https://www.acmicpc.net/problem/9376
1033,Gold II,칵테일,7099,2226,1733,33.709%,https://www.acmicpc.net/problem/1033
14497,Gold IV,주난의 난(難),4933,2602,1697,52.735%,https://www.acmicpc.net/problem/14497
